No.,Time
3275,87.99
3276,87.991
3278,87.991
3279,88.009
3283,88.018
3284,88.028
3287,88.049
3289,88.05
3290,88.09
3292,88.093
3293,88.16
3294,88.175
3295,88.19
3297,88.224
3298,88.234
3299,88.249
3301,88.293
3302,88.358
3303,88.409
3304,88.423
3306,88.424
3307,88.489
3308,88.54
3310,88.555
3311,88.556
3312,88.619
3313,88.639
3316,88.656
3317,88.689
3318,88.753
3319,88.818
3320,88.869
3322,88.884
3323,88.953
3325,89.018
3328,89.083
3332,89.109
3333,89.125
3336,89.148
3339,89.159
3344,89.173
3348,89.214
3351,89.281
3355,89.334
3361,89.348
3362,89.349
3366,89.411
3367,89.478
3368,89.545
3372,89.565
3373,89.58
3379,89.613
3380,89.676
3384,89.743
3385,89.794
3386,89.809
3389,89.874
3390,89.94
3392,89.955
3393,89.975
3395,89.995
3396,90.008
3397,90.036
3398,90.045
3399,90.073
3401,90.138
3402,90.159
3406,90.171
3407,90.205
3408,90.25
3410,90.255
3411,90.271
3415,90.336
3416,90.403
3422,90.468
3423,90.471
3427,90.484
3428,90.499
3429,90.536
3430,90.545
3431,90.55
3433,90.551
3436,90.551
3437,90.585
3441,90.601
3443,90.626
3448,90.668
3450,90.719
3453,90.733
3454,90.734
3458,90.76
3459,90.768
3462,90.77
3464,90.798
3465,90.8
3466,90.865
3468,90.93
3469,90.95
3471,90.964
3472,90.996
3476,91.004
3477,91.063
3478,91.07
3480,91.13
3481,91.134
3487,91.175
3493,91.191
3494,91.194
3497,91.215
3499,91.261
3500,91.269
3503,91.328
3504,91.334
3505,91.393
3506,91.404
3509,91.419
3510,91.459
3511,91.464
3513,91.524
3514,91.591
3521,91.599
3522,91.64
3523,91.658
3524,91.68
3526,91.723
3527,91.729
3528,91.788
3529,91.799
3532,91.855
3535,91.86
3537,91.893
3539,91.9
3540,91.92
3542,91.941
3545,91.981
3546,91.986
3547,92.023
3549,92.054
3550,92.063
3552,92.091
3553,92.104
3557,92.119
3558,92.144
3559,92.168
3560,92.183
3562,92.185
3565,92.225
3566,92.251
3567,92.266
3569,92.306
3571,92.314
3572,92.318
3573,92.348
3575,92.383
3577,92.388
3578,92.429
3579,92.448
3580,92.469
3584,92.51
3586,92.514
3588,92.55
3591,92.58
3593,92.591
3595,92.631
3596,92.646
3603,92.673
3606,92.711
3611,92.735
3612,92.75
3616,92.778
3620,92.844
3621,92.91
3625,92.925
3626,92.965
3627,92.978
3629,92.979
3631,92.989
3635,93.006
3636,93.043
3639,93.046
3640,93.088
3641,93.109
3643,93.128
3645,93.169
3653,93.171
3656,93.174
3658,93.209
3661,93.211
3667,93.243
3668,93.25
3672,93.29
3673,93.306
3675,93.331
3676,93.371
3680,93.374
3681,93.413
3682,93.414
3683,93.438
3685,93.453
3687,93.494
3690,93.504
3691,93.534
3695,93.554
3697,93.57
3699,93.575
3700,93.615
3701,93.638
3702,93.64
3705,93.656
3706,93.696
3710,93.703
3716,93.738
3720,93.75
3721,93.751
3723,93.751
3724,93.769
3727,93.778
3728,93.794
3731,93.819
3732,93.835
3736,93.859
3737,93.869
3739,93.9
3741,93.901
3742,93.94
3744,93.966
3745,93.981
3749,94.021
3750,94.034
3752,94.063
3753,94.099
3754,94.103
3756,94.144
3757,94.165
3759,94.184
3760,94.225
3763,94.23
3764,94.298
3765,94.32
3767,94.336
3768,94.363
3770,94.404
3774,94.429
3775,94.466
3779,94.468
3783,94.47
3788,94.495
3789,94.545
3793,94.559
3796,94.563
3799,94.585
3801,94.626
3803,94.628
3807,94.666
3810,94.693
3812,94.708
3815,94.749
3817,94.758
3819,94.79
3823,94.801
3826,94.825
3828,94.83
3830,94.871
3832,94.89
3836,94.956
3839,95.005
3841,95.019
3844,95.024
3847,95.045
3848,95.086
3850,95.088
3852,95.126
3856,95.153
3859,95.163
3861,95.168
3862,95.22
3865,95.245
3868,95.26
3871,95.286
3872,95.295
3875,95.335
3883,95.351
3888,95.37
3891,95.376
3894,95.416
3901,95.418
3906,95.458
3907,95.485
3913,95.498
3915,95.539
3918,95.553
3920,95.579
3922,95.616
3925,95.62
3926,95.66
3927,95.681
3929,95.701
3932,95.724
3934,95.741
3936,95.748
3938,95.783
3939,95.813
3940,95.823
3944,95.864
3948,95.881
3949,95.904
3953,95.945
3954,95.946
3957,95.949
3959,95.985
3961,95.994
3962,96.014
3965,96.026
3966,96.066
3970,96.079
3973,96.106
3975,96.146
3977,96.148
3978,96.168
3980,96.184
3982,96.188
3986,96.21
3988,96.229
3990,96.269
3991,96.276
3992,96.31
3994,96.343
3995,96.35
3996,96.391
3998,96.408
4001,96.409
4003,96.431
4005,96.473
4009,96.474
4012,96.513
4013,96.54
4014,96.554
4015,96.594
4019,96.608
4021,96.619
4023,96.635
4026,96.674
4029,96.675
4032,96.72
4033,96.738
4037,96.804
4044,96.818
4048,96.844
4051,96.859
4058,96.871
4061,96.889
4065,96.936
4067,96.95
4071,97.004
4074,97.064
4079,97.068
4080,97.081
4084,97.136
4087,97.149
4093,97.19
4094,97.2
4097,97.23
4100,97.268
4107,97.271
4109,97.309
4112,97.311
4116,97.334
4122,97.398
4124,97.463
4127,97.53
4135,97.531
4137,97.543
4142,97.57
4143,97.598
4147,97.615
4151,97.663
4155,97.715
4157,97.728
4160,97.759
4161,97.775
4165,97.795
4166,97.8
4168,97.845
4172,97.861
4173,97.909
4175,97.928
4178,97.979
4179,97.993
4183,98.008
4184,98.02
4189,98.058
4190,98.06
4191,98.101
4194,98.124
4195,98.141
4199,98.161
4200,98.183
4203,98.193
4204,98.223
4210,98.229
4212,98.258
4213,98.259
4216,98.264
4217,98.304
4218,98.323
4222,98.344
4223,98.384
4228,98.389
4229,98.424
4230,98.455
4233,98.464
4234,98.464
4237,98.468
4238,98.505
4243,98.519
4244,98.545
4245,98.559
4249,98.586
4257,98.588
4258,98.635
4259,98.653
4261,98.684
4267,98.7
4271,98.718
4275,98.725
4279,98.769
4283,98.784
4284,98.829
4290,98.85
4291,98.899
4293,98.916
4297,98.924
4298,98.94
4304,98.98
4305,98.983
4308,98.999
4309,99.021
4314,99.05
4315,99.061
4316,99.103
4319,99.115
4320,99.143
4323,99.155
4324,99.163
4330,99.179
4331,99.184
4332,99.224
4336,99.246
4337,99.313
4339,99.364
4340,99.378
4344,99.389
4345,99.405
4347,99.444
4348,99.445
4349,99.486
4351,99.511
4352,99.526
4356,99.568
4357,99.578
4360,99.608
4362,99.619
4364,99.643
4365,99.65
4366,99.69
4370,99.708
4375,99.731
4376,99.771
4378,99.775
4383,99.813
4386,99.841
4388,99.853
4389,99.86
4393,99.894
4401,99.908
4409,99.934
4410,99.973
4411,99.974
4412,100.015
4413,100.038
4414,100.055
4415,100.09
4425,100.096
4426,100.105
4427,100.136
4429,100.171
4430,100.236
4432,100.295
4436,100.303
4437,100.31
4440,100.368
4443,100.435
4446,100.45
4447,100.49
4450,100.495
4451,100.501
4453,100.509
4454,100.53
4455,100.568
4456,100.571
4458,100.611
4459,100.633
4461,100.653
4465,100.693
4467,100.699
4470,100.734
4471,100.734
4472,100.764
